timestamp,value,pid
1922000,0.0,W
1922250,0.829071,W
1922500,1.1766,W
1922750,1.61491,W
1923000,2.092975,W
1923250,2.581391,W
1923500,3.036879,W
1923750,3.056992,W
1924000,3.068525,W
1924250,3.069806,W
1924500,3.078776,W
1924750,3.078776,W
1925000,3.085183,W
1925250,3.085183,W
1925500,3.095434,W
1925750,3.099279,W
1926000,3.101841,W
1926250,3.105686,W
1926500,3.105686,W
1926750,3.112093,W
1927000,3.115937,W
1927250,3.114656,W
1927500,3.117218,W
1927750,3.124907,W
1928000,3.126188,W
1928250,3.126188,W
1928500,3.124907,W
1928750,3.128751,W
1929000,3.131314,W
1929250,3.139002,W
1929500,3.133877,W
1929750,3.131314,W
1930000,3.130033,W
1930250,3.132595,W
1930500,3.132595,W
1930750,3.13644,W
1931000,3.137721,W
1931250,3.145409,W
1931500,3.139002,W
1931750,3.141565,W
1932000,3.137721,W
1932250,3.145409,W
1932500,3.153098,W
1932750,3.122344,W
1933000,3.162068,W
1933250,3.19154,W
1933500,3.196666,W
1933750,3.204354,W
1934000,3.204354,W
1934250,3.208199,W
1934500,3.217168,W
1934750,3.221013,W
1935000,3.222294,W
1935250,3.237671,W
1935500,3.250485,W
1935750,3.259455,W
1936000,3.231264,W
1936250,3.163349,W
1936500,3.05443,W
1936750,2.980108,W
1937000,2.978826,W
1937250,2.950635,W
1937500,2.908349,W
1937750,2.905786,W
1938000,2.896816,W
1938250,2.89169,W
1938500,2.882721,W
1938750,2.878876,W
1939000,2.871188,W
1939250,2.867344,W
1939500,2.866062,W
1939750,2.785334,W
1940000,2.799429,W
1940250,2.315057,W
1940500,2.348763,W
1940750,2.352607,W
1941000,2.341075,W
1941250,2.328261,W
1941500,2.321854,W
1941750,2.314165,W
1942000,2.303914,W
1942250,2.30007,W
1942500,2.298788,W
1942750,2.297507,W
1943000,2.294944,W
1943250,2.287256,W
1943500,2.288537,W
1943750,2.284693,W
1944000,2.283411,W
1944250,2.280849,W
1944500,2.287256,W
1944750,2.283411,W
1945000,2.284693,W
1945250,2.292381,W
1945500,2.297507,W
1945750,2.294944,W
1946000,2.296226,W
1946250,2.293663,W
1946500,2.293663,W
1946750,2.293663,W
1947000,2.296226,W
1947250,2.301351,W
1947500,2.30007,W
1947750,2.30007,W
1948000,2.307758,W
1948250,2.312884,W
1948500,2.314165,W
1948750,2.320572,W
1949000,2.326979,W
1949250,2.333386,W
1949500,2.347482,W
1949750,2.366703,W
1950000,2.359015,W
1950250,2.357733,W
1950500,2.361577,W
1950750,2.351326,W
1951000,2.351326,W
1951250,2.351326,W
1951500,2.352607,W
