timestamp,value,pid
1932000,72.0,W
1933000,62.0,W
1934000,65.0,W
1935000,69.5,W
1936000,75.2,W
1937000,72.5,W
1938000,70.71,W
1939000,72.0,W
1940000,72.89,W
1941000,73.5,W
1942000,73.91,W
1943000,74.0,W
1944000,74.23,W
1945000,74.29,W
1946000,74.33,W
1947000,74.25,W
1948000,74.12,W
1949000,74.11,W
1950000,74.11,W
1951000,74.15,W
1952000,74.29,W
1953000,74.64,W
1954000,74.96,W
1955000,75.25,W
1956000,75.4,W
1957000,75.54,W
1958000,75.59,W
1959000,75.64,W
1960000,75.69,W
1961000,75.7,W
1962000,75.74,W
1963000,75.78,W
1964000,75.88,W
1965000,75.97,W
1966000,76.11,W
1967000,76.19,W
1968000,76.27,W
1969000,76.37,W
1970000,76.49,W
1971000,76.6,W
1972000,76.71,W
1973000,76.81,W
1974000,76.91,W
1975000,76.98,W
1976000,77.04,W
1977000,77.07,W
1978000,77.11,W
1979000,77.15,W
1980000,77.18,W
1981000,77.2,W
1982000,77.22,W
1983000,77.21,W
1984000,77.17,W
1985000,77.11,W
1986000,77.05,W
1987000,77.0,W
1988000,76.95,W
1989000,76.91,W
1990000,76.88,W
1991000,76.83,W
1992000,76.85,W
1993000,77.2,W
1994000,77.22,W
1995000,77.03,W
1996000,76.6,W
1997000,76.83,W
1998000,77.08,W
1999000,76.98,W
2000000,76.92,W
2001000,76.87,W
2002000,76.82,W
2003000,76.83,W
2004000,76.78,W
2005000,76.77,W
2006000,76.77,W
2007000,76.8,W
2008000,76.88,W
2009000,76.85,W
2010000,76.87,W
2011000,76.87,W
2012000,77.0,W
2013000,77.03,W
2014000,77.07,W
2015000,77.12,W
2016000,77.22,W
2017000,77.33,W
2018000,77.48,W
2019000,77.63,W
2020000,77.8,W
2021000,77.98,W
2022000,78.15,W
2023000,78.32,W
2024000,78.45,W
2025000,78.58,W
2026000,78.68,W
2027000,78.83,W
2028000,78.98,W
2029000,79.13,W
2030000,79.25,W
2031000,79.37,W
2032000,79.52,W
2033000,79.67,W
2034000,79.82,W
2035000,79.97,W
2036000,80.1,W
2037000,80.25,W
2038000,80.42,W
2039000,80.6,W
2040000,80.77,W
2041000,80.95,W
2042000,81.15,W
2043000,81.37,W
2044000,81.62,W
2045000,81.88,W
2046000,82.13,W
2047000,82.37,W
2048000,82.62,W
2049000,82.85,W
2050000,83.03,W
2051000,83.23,W
2052000,83.43,W
2053000,83.63,W
2054000,83.85,W
2055000,84.08,W
2056000,84.32,W
2057000,84.55,W
2058000,84.77,W
2059000,84.98,W
2060000,85.22,W
2061000,85.43,W
2062000,85.68,W
2063000,85.92,W
2064000,86.18,W
2065000,86.47,W
2066000,86.77,W
2067000,87.1,W
2068000,87.42,W
2069000,87.82,W
2070000,88.18,W
2071000,88.55,W
2072000,88.77,W
2073000,89.0,W
2074000,89.23,W
2075000,89.47,W
2076000,89.7,W
2077000,89.93,W
2078000,90.18,W
2079000,90.45,W
2080000,90.68,W
2081000,90.95,W
2082000,91.23,W
2083000,91.52,W
2084000,91.82,W
2085000,92.12,W
2086000,92.43,W
2087000,92.73,W
2088000,93.03,W
2089000,93.35,W
2090000,93.65,W
2091000,93.98,W
2092000,94.25,W
2093000,94.57,W
2094000,95.0,W
2095000,95.47,W
2096000,95.95,W
2097000,96.42,W
2098000,96.55,W
2099000,96.55,W
2100000,96.55,W
2101000,96.57,W
2102000,96.57,W
2103000,96.57,W
2104000,96.57,W
2105000,96.57,W
2106000,96.6,W
2107000,96.65,W
2108000,96.68,W
2109000,96.72,W
2110000,96.83,W
2111000,96.95,W
2112000,97.08,W
2113000,97.27,W
2114000,97.45,W
2115000,97.77,W
2116000,98.07,W
2117000,98.33,W
2118000,98.57,W
2119000,98.77,W
2120000,98.97,W
2121000,99.18,W
2122000,99.35,W
2123000,99.45,W
2124000,99.57,W
2125000,99.67,W
2126000,99.73,W
2127000,99.77,W
2128000,99.8,W
2129000,99.8,W
2130000,99.83,W
2131000,99.83,W
2132000,99.78,W
2133000,99.72,W
2134000,99.63,W
2135000,99.48,W
2136000,99.32,W
2137000,99.12,W
2138000,98.9,W
2139000,98.67,W
