timestamp,value,pid
1946532,671.906,W
1947235,703.157,W
1947923,687.531,W
1948641,718.783,W
1949438,796.911,W
1950220,781.286,W
1950938,718.783,W
1951688,750.034,W
1952438,750.034,W
1953095,656.28,W
1953845,750.034,W
1954563,718.783,W
1960095,703.157,W
1960845,750.034,W
1961595,750.034,W
1962345,750.034,W
1963080,734.409,W
1963830,750.034,W
1971236,781.286,W
1972002,765.66,W
1972783,781.286,W
1973611,828.163,W
1974361,750.034,W
1975080,718.783,W
1975799,718.783,W
1976518,718.783,W
1977252,734.409,W
1978002,750.034,W
1978752,750.034,W
1979643,890.666,W
1980518,875.04,W
1981362,843.789,W
1982237,875.04,W
1983080,843.789,W
1983893,812.537,W
1984549,656.28,W
1985393,843.789,W
1986331,937.543,W
1993518,703.157,W
1994409,890.666,W
2006597,625.029,W
2007332,734.409,W
2008082,750.034,W
2008769,687.531,W
2009535,765.66,W
2010269,734.409,W
2011050,781.286,W
2023332,671.906,W
2042818,671.906,W
2043505,687.531,W
2044177,671.906,W
2044849,671.906,W
2045568,718.783,W
2046255,687.531,W
2046958,703.157,W
2047646,687.531,W
2048380,734.409,W
2049146,765.66,W
2049849,703.157,W
2050552,703.157,W
2051240,687.531,W
2051912,671.906,W
2052599,687.531,W
2053271,671.906,W
2053927,656.28,W
2054599,671.906,W
2055240,640.654,W
2055928,687.531,W
2056584,656.28,W
2057428,843.789,W
2065506,593.777,W
2066147,640.654,W
2066772,625.029,W
2067397,625.029,W
2068053,656.28,W
2068694,640.654,W
2069287,593.777,W
2070022,734.409,W
2072819,578.151,W
2088617,828.163,W
2089398,781.286,W
2090210,812.537,W
2091007,796.911,W
2091742,734.409,W
2092476,734.409,W
2125196,609.403,W
2133759,750.034,W
2134462,703.157,W
2135119,656.28,W
2135869,750.034,W
2136525,656.28,W
2190121,687.531,W
2196043,703.157,W
2196700,656.28,W
2197387,687.531,W
2198043,656.28,W
2198778,734.409,W
2199450,671.906,W
2200153,703.157,W
2200840,687.531,W
2201544,703.157,W
2202184,640.654,W
2202825,640.654,W
2203512,687.531,W
2204169,656.28,W
2204809,640.654,W
2205466,656.28,W
2206106,640.654,W
2206747,640.654,W
2207419,671.906,W
2208122,703.157,W
2208810,687.531,W
2209481,671.906,W
2210153,671.906,W
2210778,625.029,W
2219841,859.414,W
2220576,734.409,W
2221294,718.783,W
2252171,875.04,W
2253077,906.291,W
2253968,890.666,W
2254796,828.163,W
2255624,828.163,W
2256421,796.911,W
2257234,812.537,W
2257968,734.409,W
2258640,671.906,W
2259296,656.28,W
2259968,671.906,W
2264593,890.666,W
2273062,921.917,W
2273969,906.291,W
2274859,890.666,W
2275750,890.666,W
2276594,843.789,W
2277328,734.409,W
2278047,718.783,W
2278766,718.783,W
2279641,875.04,W
2280688,1046.923,W
2281641,953.169,W
2282594,953.169,W
2283532,937.543,W
2284391,859.414,W
2285297,906.291,W
2286204,906.291,W
2287094,890.666,W
2287969,875.04,W
2288766,796.911,W
2289563,796.911,W
2290376,812.537,W
2291220,843.789,W
2292032,812.537,W
2292766,734.409,W
2293485,718.783,W
2294188,703.157,W
2298814,859.414,W
2299704,890.666,W
2300579,875.04,W
2301454,875.04,W
2302220,765.66,W
2303111,890.666,W
2303954,843.789,W
2304798,843.789,W
2305642,843.789,W
2306423,781.286,W
2307189,765.66,W
2307986,796.911,W
2308814,828.163,W
2309658,843.789,W
2310424,765.66,W
2311236,812.537,W
2312033,796.911,W
2312892,859.414,W
2313752,859.414,W
2314502,750.034,W
2315299,796.911,W
2316080,781.286,W
2316924,843.789,W
2317752,828.163,W
2318549,796.911,W
2319346,796.911,W
2320158,812.537,W
2342581,671.906,W
2343175,593.777,W
2343738,562.526,W
2344316,578.151,W
2344941,625.029,W
2345628,687.531,W
2362660,656.28,W
2363317,656.28,W
2370801,687.531,W
2379395,687.531,W
2380130,734.409,W
2380864,734.409,W
2381614,750.034,W
2382364,750.034,W
2383036,671.906,W
2383739,703.157,W
2384349,609.403,W
2406475,578.151,W
2407069,593.777,W
2407725,656.28,W
2408397,671.906,W
2409084,687.531,W
2409741,656.28,W
2410366,625.029,W
2411006,640.654,W
2411647,640.654,W
2412272,625.029,W
2412913,640.654,W
2413553,640.654,W
2414116,562.526,W
2414850,734.409,W
2415491,640.654,W
2416085,593.777,W
2427210,640.654,W
2427851,640.654,W
2428491,640.654,W
2429132,640.654,W
2429788,656.28,W
2430429,640.654,W
2431101,671.906,W
2431757,656.28,W
2432398,640.654,W
2467946,578.151,W
2480181,656.28,W
2546387,671.906,W
2547059,671.906,W
2547716,656.28,W
2548388,671.906,W
2549075,687.531,W
2549716,640.654,W
2550403,687.531,W
2551075,671.906,W
2551763,687.531,W
2552419,656.28,W
2553075,656.28,W
2553747,671.906,W
2554419,671.906,W
2555107,687.531,W
