timestamp,value,pid
1922000,30.57,W
1922250,30.57,W
1922500,30.57,W
1922750,30.57,W
1923000,30.57,W
1923250,30.57,W
1923500,30.57,W
1923750,30.57,W
1924000,30.57,W
1924250,30.57,W
1924500,30.57,W
1924750,30.57,W
1925000,30.57,W
1925250,30.57,W
1925500,30.57,W
1925750,30.57,W
1926000,30.57,W
1926250,30.57,W
1926500,30.57,W
1926750,30.57,W
1927000,30.55,W
1927250,30.55,W
1927500,30.55,W
1927750,30.55,W
1928000,30.55,W
1928250,30.55,W
1928500,30.55,W
1928750,30.55,W
1929000,30.57,W
1929250,30.57,W
1929500,30.57,W
1929750,30.57,W
1930000,30.57,W
1930250,30.57,W
1930500,30.57,W
1930750,30.57,W
1931000,30.57,W
1931250,30.57,W
1931500,30.57,W
1931750,30.57,W
1932000,30.55,W
1932250,30.55,W
1932500,30.55,W
1932750,30.55,W
1933000,30.57,W
1933250,30.57,W
1933500,30.57,W
1933750,30.57,W
1934000,30.59,W
1934250,30.59,W
1934500,30.59,W
1934750,30.59,W
1935000,30.59,W
1935250,30.59,W
1935500,30.59,W
1935750,30.59,W
1936000,30.57,W
1936250,30.57,W
1936500,30.57,W
1936750,30.57,W
1937000,30.55,W
1937250,30.55,W
1937500,30.55,W
1937750,30.55,W
1938000,30.59,W
1938250,30.59,W
1938500,30.59,W
1938750,30.59,W
1939000,30.57,W
1939250,30.57,W
1939500,30.57,W
1939750,30.57,W
1940000,30.59,W
1940250,30.59,W
1940500,30.59,W
1940750,30.59,W
1941000,30.59,W
1941250,30.59,W
1941500,30.59,W
1941750,30.59,W
1942000,30.57,W
1942250,30.57,W
1942500,30.57,W
1942750,30.57,W
1943000,30.51,W
1943250,30.51,W
1943500,30.51,W
1943750,30.51,W
1944000,30.53,W
1944250,30.53,W
1944500,30.53,W
1944750,30.53,W
1945000,30.53,W
1945250,30.53,W
1945500,30.53,W
1945750,30.53,W
1946000,30.53,W
1946250,30.53,W
1946500,30.53,W
1946750,30.53,W
1947000,30.51,W
1947250,30.51,W
1947500,30.51,W
1947750,30.51,W
1948000,30.49,W
1948250,30.49,W
1948500,30.49,W
1948750,30.49,W
1949000,30.49,W
1949250,30.49,W
1949500,30.49,W
1949750,30.49,W
1950000,30.49,W
1950250,30.49,W
1950500,30.49,W
1950750,30.49,W
1951000,30.51,W
1951250,30.51,W
1951500,30.51,W
1951750,30.51,W
1952000,30.47,W
1952250,30.47,W
1952500,30.47,W
1952750,30.47,W
1953000,30.49,W
1953250,30.49,W
1953500,30.49,W
1953750,30.49,W
1954000,30.49,W
1954250,30.49,W
1954500,30.49,W
1954750,30.49,W
1955000,30.47,W
1955250,30.47,W
1955500,30.47,W
1955750,30.47,W
1956000,30.47,W
1956250,30.47,W
1956500,30.47,W
1956750,30.47,W
1957000,30.45,W
1957250,30.45,W
1957500,30.45,W
1957750,30.45,W
1958000,30.45,W
1958250,30.45,W
1958500,30.45,W
1958750,30.45,W
1959000,30.45,W
1959250,30.45,W
1959500,30.45,W
1959750,30.45,W
1960000,30.45,W
1960250,30.45,W
1960500,30.45,W
1960750,30.45,W
1961000,30.45,W
1961250,30.45,W
1961500,30.45,W
1961750,30.45,W
1962000,30.43,W
1962250,30.43,W
1962500,30.43,W
1962750,30.43,W
1963000,30.43,W
1963250,30.43,W
1963500,30.43,W
1963750,30.43,W
1964000,30.43,W
1964250,30.43,W
1964500,30.43,W
1964750,30.43,W
1965000,30.43,W
1965250,30.43,W
1965500,30.43,W
1965750,30.43,W
1966000,30.43,W
1966250,30.43,W
1966500,30.43,W
1966750,30.43,W
1967000,30.41,W
1967250,30.41,W
1967500,30.41,W
1967750,30.41,W
1968000,30.39,W
1968250,30.39,W
1968500,30.39,W
1968750,30.39,W
1969000,30.39,W
1969250,30.39,W
1969500,30.39,W
1969750,30.39,W
1970000,30.39,W
1970250,30.39,W
1970500,30.39,W
1970750,30.39,W
1971000,30.37,W
1971250,30.37,W
1971500,30.37,W
1971750,30.37,W
1972000,30.37,W
1972250,30.37,W
1972500,30.37,W
1972750,30.37,W
1973000,30.37,W
1973250,30.37,W
1973500,30.37,W
1973750,30.37,W
1974000,30.37,W
1974250,30.37,W
1974500,30.37,W
