timestamp,value,pid
2191889,2,W
2192990,0,W
2193882,12242,W
2194895,100,W
2195889,2716,W
2196880,48,W
2197892,322,W
2198868,5100,W
2199866,13253,W
2200870,12996,W
2201878,7311,W
2202863,38918,W
2203860,620,W
2204865,52015,W
2205901,5252,W
2206852,30500,W
2207835,16005,W
2208817,26561,W
2209822,19277,W
2210826,28635,W
2211825,24468,W
2212817,12148,W
2213927,7096,W
2214815,4509,W
2215822,17811,W
2216805,14692,W
2217803,4643,W
2218827,8632,W
2219784,6230,W
2220797,9425,W
2221895,35007,W
2222774,14600,W
2223769,5528,W
2224792,11476,W
2225761,14649,W
2226765,6969,W
2227780,28421,W
2228747,6463,W
2229903,11870,W
2230763,14805,W
2231746,12227,W
2232731,6261,W
2233716,14511,W
2234721,1895,W
2235722,8304,W
2236737,7882,W
2237716,7937,W
2238727,6319,W
2239710,19715,W
2240714,7494,W
2241717,11306,W
2242684,10728,W
2243706,16854,W
2244711,4357,W
2245697,11103,W
2246675,4188,W
2247693,6194,W
2248671,11125,W
2249682,14861,W
2250651,9571,W
2251669,6302,W
2252666,26936,W
2253655,5365,W
2254659,2257,W
2255648,2749,W
2256628,5432,W
2257629,4121,W
2258644,8285,W
2259623,3279,W
2260622,7233,W
2261641,13135,W
2262607,5790,W
2263617,7092,W
2264611,3235,W
2265596,6244,W
2266614,7844,W
2267604,9240,W
2268600,6907,W
2269597,7210,W
2270588,5521,W
2271574,12988,W
2272640,3081,W
2273577,6088,W
2274580,6341,W
2275583,3564,W
2276573,5406,W
2277571,2729,W
2278569,2909,W
2279554,3627,W
2280558,4281,W
2281542,2030,W
2282527,2842,W
2283547,2158,W
2284544,4427,W
2285519,4678,W
2286517,1527,W
2287536,3004,W
2288529,2035,W
2289525,4038,W
2290548,2691,W
2291511,2834,W
2292498,1749,W
2293482,2490,W
2294496,3133,W
2295493,4319,W
2296471,9062,W
2297473,6366,W
2298477,4622,W
2299458,4978,W
2300479,802,W
2301465,2711,W
2302468,10000,W
2303476,3204,W
2304470,5173,W
2305454,3793,W
2306458,18167,W
2307463,9004,W
2308457,4839,W
2309431,6329,W
2310432,25550,W
2311433,63103,W
2312417,7564,W
2313403,13119,W
2314435,4508,W
2315426,11028,W
2316409,30886,W
2317414,22069,W
