timestamp,value,pid
2191889,10,W
2192990,0,W
2193882,98803,W
2194895,227,W
2195889,24537,W
2196880,26,W
2197892,94,W
2198868,14740,W
2199866,7318,W
2200870,18638,W
2201878,17508,W
2202863,13172,W
2203860,2116,W
2204865,32991,W
2205901,12024,W
2206852,15291,W
2207835,5966,W
2208817,7179,W
2209822,11247,W
2210826,10683,W
2211825,20348,W
2212817,10524,W
2213927,14059,W
2214815,14190,W
2215822,25040,W
2216805,79159,W
2217803,2542,W
2218827,25067,W
2219784,3733,W
2220797,18841,W
2221895,8765,W
2222774,52524,W
2223769,6232,W
2224792,3936,W
2225761,3196,W
2226765,3536,W
2227780,21686,W
2228747,2277,W
2229903,7764,W
2230763,59966,W
2231746,2953,W
2232731,2646,W
2233716,11529,W
2234721,11456,W
2235722,9145,W
2236737,6162,W
2237716,3705,W
2238727,4698,W
2239710,4104,W
2240714,938,W
2241717,3836,W
2242684,1923,W
2243706,10333,W
2244711,1511,W
2245697,9148,W
2246675,2147,W
2247693,9972,W
2248671,2650,W
2249682,17502,W
2250651,25201,W
2251669,5223,W
2252666,17606,W
2253655,11208,W
2254659,2396,W
2255648,5265,W
2256628,4179,W
2257629,4536,W
2258644,4928,W
2259623,2029,W
2260622,678,W
2261641,12947,W
2262607,5228,W
2263617,4609,W
2264611,4010,W
2265596,8089,W
2266614,8592,W
2267604,1505,W
2268600,14369,W
2269597,730,W
2270588,2730,W
2271574,3450,W
2272640,800,W
2273577,3610,W
2274580,2785,W
2275583,5080,W
2276573,3648,W
2277571,4455,W
2278569,1711,W
2279554,602,W
2280558,1779,W
2281542,1537,W
2282527,1091,W
2283547,3479,W
2284544,3113,W
2285519,1906,W
2286517,559,W
2287536,2194,W
2288529,4009,W
2289525,2440,W
2290548,2697,W
2291511,813,W
2292498,3562,W
2293482,452,W
2294496,835,W
2295493,3629,W
2296471,684,W
2297473,9419,W
2298477,18292,W
2299458,10490,W
2300479,487,W
2301465,11865,W
2302468,19960,W
2303476,8816,W
2304470,1859,W
2305454,7488,W
2306458,8625,W
2307463,15637,W
2308457,3088,W
2309431,6458,W
2310432,13112,W
2311433,48084,W
2312417,3513,W
2313403,48927,W
2314435,5604,W
2315426,1679,W
2316409,34169,W
2317414,21349,W
2318397,5724,W
2319435,57930,W
2320386,2659,W
2321404,4299,W
2322370,3396,W
2323375,19030,W
2324373,58788,W
2325361,220824,W
2326370,37558,W
2327364,8410,W
2328350,6976,W
2329373,10937,W
2330354,1250,W
2331340,9581,W
2332342,39336,W
2333342,26634,W
2334345,15158,W
2335333,24458,W
2336332,15930,W
2337319,3498,W
2338342,12515,W
2339322,3695,W
2340304,12017,W
2341319,34898,W
2342309,8435,W
2343311,5127,W
2344295,23859,W
