timestamp,value,pid
2191889,1,W
2192990,0,W
2193882,5441,W
2194895,62,W
2195889,483,W
2196880,35,W
2197892,240,W
2198868,2172,W
2199866,3750,W
2200870,8044,W
2201878,6647,W
2202863,4962,W
2203860,160,W
2204865,16942,W
2205901,1996,W
2206852,41684,W
2207835,14395,W
2208817,15829,W
2209822,12006,W
2210826,8863,W
2211825,40481,W
2212817,6715,W
2213927,9877,W
2214815,6190,W
2215822,40681,W
2216805,27646,W
2217803,3855,W
2218827,5267,W
2219784,4930,W
2220797,8097,W
2221895,23782,W
2222774,9111,W
2223769,5639,W
2224792,9020,W
2225761,20260,W
2226765,11824,W
2227780,7091,W
2228747,5993,W
2229903,13626,W
2230763,14838,W
2231746,8535,W
2232731,12836,W
2233716,4717,W
2234721,3600,W
2235722,10695,W
2236737,13912,W
2237716,7995,W
2238727,11925,W
2239710,5757,W
2240714,5523,W
2241717,4752,W
2242684,9383,W
2243706,11753,W
2244711,1908,W
2245697,4454,W
2246675,591,W
2247693,5758,W
2248671,6923,W
2249682,9974,W
2250651,7351,W
2251669,734,W
2252666,1975,W
2253655,1294,W
2254659,7525,W
2255648,2213,W
2256628,2668,W
2257629,1598,W
2258644,1340,W
2259623,2930,W
2260622,3092,W
2261641,4395,W
2262607,3585,W
2263617,3324,W
2264611,809,W
2265596,2771,W
2266614,2595,W
2267604,7629,W
2268600,6692,W
2269597,4901,W
2270588,1552,W
2271574,2681,W
2272640,7403,W
2273577,3369,W
2274580,3303,W
2275583,4361,W
2276573,736,W
2277571,1345,W
2278569,1638,W
2279554,1236,W
2280558,1278,W
2281542,1615,W
2282527,1743,W
2283547,1540,W
2284544,949,W
2285519,1585,W
2286517,1954,W
2287536,1926,W
2288529,1623,W
2289525,2081,W
2290548,873,W
2291511,2944,W
2292498,1829,W
2293482,1624,W
2294496,1489,W
2295493,1387,W
2296471,744,W
2297473,3193,W
2298477,472,W
2299458,1872,W
2300479,270,W
2301465,1827,W
2302468,3850,W
2303476,1320,W
2304470,5533,W
2305454,3738,W
2306458,2271,W
2307463,2745,W
2308457,2767,W
2309431,4814,W
2310432,16005,W
2311433,19859,W
2312417,1387,W
2313403,9104,W
2314435,2316,W
2315426,4944,W
2316409,10669,W
2317414,37915,W
2318397,3995,W
2319435,15093,W
2320386,5403,W
2321404,8017,W
2322370,6600,W
2323375,6907,W
2324373,7649,W
2325361,19171,W
2326370,7716,W
2327364,4155,W
2328350,5288,W
2329373,9633,W
2330354,1207,W
2331340,6464,W
2332342,4894,W
2333342,29423,W
2334345,6980,W
2335333,28412,W
2336332,5091,W
2337319,13593,W
2338342,13867,W
2339322,24002,W
2340304,17253,W
2341319,7984,W
2342309,7494,W
2343311,5936,W
2344295,4549,W
2345298,16938,W
2346301,14380,W
2347303,11358,W
2348286,12461,W
2349292,6534,W
2350257,2279,W
2351278,1738,W
2352265,4365,W
2353250,19167,W
2354265,24125,W
2355253,8121,W
2356236,19042,W
2357246,3651,W
2358255,10125,W
2359223,9805,W
2360227,8788,W
2361229,1467,W
2362214,31156,W
2363220,3480,W
2364223,5731,W
2365209,3518,W
2366235,1901,W
2367224,4328,W
2368210,2372,W
2369213,33704,W
2370194,17361,W
2371207,31312,W
2372199,41256,W
2373167,15353,W
2374181,387151,W
2375193,641,W
2376157,6451,W
2377174,15131,W
2378162,22012,W
2379160,11567,W
2380168,12315,W
2381167,4667,W
2382142,147314,W
2383144,3126,W
2384154,11683,W
2385142,19295,W
2386143,2336,W
2387144,6247,W
2388124,3215,W
2389139,15196,W
2390115,6497,W
2391101,6772,W
2392119,2760,W
2393107,21038,W
2394108,2842,W
2395109,10440,W
2396094,582,W
2397078,7455,W
2398088,11030,W
2399083,9815,W
2400069,1580,W
2401079,9145,W
2402074,7591,W
2403068,1935,W
2404076,9518,W
2405046,7539,W
2406056,2423,W
2407052,14991,W
2408052,13869,W
2409057,14406,W
2410037,5009,W
2411032,9108,W
2412026,9361,W
2413045,3207,W
2414013,5012,W
2415015,4999,W
2416015,416,W
2417017,9082,W
2418004,11850,W
2419005,1569,W
2419994,312,W
2420998,3568,W
2421998,6590,W
2422998,9988,W
2423998,6619,W
2424980,629,W
2425986,5709,W
2426990,2511,W
2427979,14678,W
2428957,12783,W
2429957,3264,W
2430946,8256,W
2431965,432,W
2432950,5765,W
2433938,11064,W
2434958,5995,W
2435927,1845,W
2436928,7555,W
2437987,3191,W
2438909,3622,W
2439931,1076,W
2440914,8319,W
2441916,915,W
2442923,2273,W
2443903,12797,W
2444906,1422,W
2445906,20420,W
2446909,9827,W
2447894,5989,W
2448895,1589,W
2449887,5363,W
2450868,566,W
2451886,4813,W
2452852,5266,W
2453875,10170,W
2454878,8616,W
2455842,2116,W
2456842,4690,W
2457844,2820,W
2458850,1304,W
2459851,4896,W
2460851,3195,W
2461834,9367,W
2462840,5308,W
2463826,10125,W
2464830,3452,W
2465828,12475,W
2466813,20749,W
2467814,11367,W
2468798,733,W
2469806,2780,W
2470803,3744,W
2471804,397,W
2472780,15003,W
2473791,4433,W
2474777,401,W
2475781,9022,W
2476786,2448,W
2477784,4774,W
2478767,1403,W
2479772,30404,W
2480771,16856,W
2481757,6869,W
2482760,3569,W
2483746,4869,W
2484728,9497,W
2485730,763,W
2486749,31034,W
2487737,6206,W
2488725,3604,W
2489725,3853,W
2490706,5084,W
2491725,1969,W
2492711,265,W
2493696,19247,W
2494697,694,W
2495682,27008,W
2496690,3336,W
2497703,25249,W
2498690,6268,W
2499692,2173,W
2500684,13422,W
2501695,3277,W
2502663,11781,W
2503682,5447,W
2504666,33020,W
2505652,4625,W
2506652,25449,W
2507640,1124,W
2508658,3001,W
2509643,4876,W
2510628,9246,W
2511632,3222,W
2512617,2833,W
2513616,2965,W
2514640,1394,W
2515620,12818,W
2516605,1392,W
2517623,9995,W
2518608,2602,W
2519617,16507,W
2520612,6399,W
2521598,3118,W
2522603,4327,W
2523604,13259,W
2524571,16125,W
2525589,7090,W
2526591,11148,W
2527558,5350,W
2528577,7306,W
2529546,9736,W
2530551,20264,W
2531602,4365,W
2532559,3637,W
2533556,3488,W
2534540,3812,W
2535530,4538,W
2536528,1878,W
2537589,3341,W
2538515,5405,W
2539532,2283,W
2540517,10835,W
2541520,5364,W
2542520,8930,W
2543522,5253,W
2544527,6832,W
2545511,7618,W
2546499,6460,W
2547496,5051,W
2548502,5561,W
2549489,4514,W
2550492,5908,W
2551474,4315,W
2552456,2224,W
2553477,3269,W
2554479,4325,W
2555457,2624,W
2556470,641,W
2557466,10373,W
2558433,5764,W
2559455,7119,W
2560454,10635,W
2561440,7147,W
2562432,9337,W
2563455,5106,W
2564417,4104,W
2565414,3897,W
2566431,2856,W
2567421,5257,W
2568407,3816,W
2569402,5200,W
2570405,9455,W
2571396,4743,W
2572392,3361,W
2573379,2936,W
2574387,5305,W
2575366,2616,W
2576385,2338,W
2577370,3342,W
2578403,3416,W
2579373,19912,W
2580376,8422,W
2581362,6193,W
2582350,4674,W
2583345,2938,W
2584353,3792,W
2585352,4173,W
2586358,4485,W
2587320,8077,W
2588342,3948,W
2589324,5403,W
2590327,2708,W
2591331,7818,W
2592297,8988,W
2593317,2313,W
2594302,9437,W
2595286,6407,W
2596306,3536,W
2597307,2283,W
2598292,5656,W
2599278,4549,W
2600304,2871,W
2601264,1981,W
2602269,3069,W
2603285,4449,W
2604277,4143,W
2605275,2389,W
