timestamp,value,pid
2191889,5,W
2192990,0,W
2193882,37467,W
2194895,55,W
2195889,6811,W
2196880,10,W
2197892,72,W
2198868,6799,W
2199866,6652,W
2200870,3670,W
2201878,19174,W
2202863,23371,W
2203860,697,W
2204865,57451,W
2205901,5476,W
2206852,31897,W
2207835,14882,W
2208817,8447,W
2209822,13745,W
2210826,35207,W
2211825,20123,W
2212817,8441,W
2213927,6802,W
2214815,20480,W
2215822,32708,W
2216805,18158,W
2217803,7677,W
2218827,9530,W
2219784,2888,W
2220797,11745,W
2221895,23930,W
2222774,21733,W
2223769,1899,W
2224792,11989,W
2225761,13465,W
2226765,12617,W
2227780,17460,W
2228747,3420,W
2229903,6199,W
2230763,4490,W
2231746,15373,W
2232731,5656,W
2233716,3960,W
2234721,12235,W
2235722,7498,W
2236737,4749,W
2237716,4848,W
2238727,5418,W
2239710,10198,W
2240714,3884,W
2241717,3610,W
2242684,5240,W
2243706,12240,W
2244711,3485,W
2245697,16072,W
2246675,2588,W
2247693,7292,W
2248671,3330,W
2249682,13067,W
2250651,14920,W
2251669,14990,W
2252666,31547,W
2253655,4414,W
2254659,7429,W
2255648,9335,W
2256628,4039,W
2257629,3600,W
2258644,9525,W
2259623,1899,W
2260622,8412,W
2261641,4767,W
2262607,6223,W
2263617,4995,W
2264611,1831,W
2265596,7178,W
2266614,2174,W
2267604,3273,W
2268600,2662,W
2269597,2337,W
2270588,1613,W
2271574,2901,W
2272640,3413,W
2273577,11189,W
2274580,2683,W
2275583,3766,W
2276573,4657,W
2277571,1057,W
2278569,1570,W
2279554,4085,W
2280558,2951,W
2281542,1813,W
2282527,1017,W
2283547,2407,W
2284544,3755,W
2285519,1541,W
2286517,5000,W
2287536,6999,W
2288529,440,W
2289525,4279,W
2290548,3570,W
2291511,2050,W
2292498,4661,W
2293482,1977,W
2294496,2480,W
2295493,2013,W
2296471,3176,W
2297473,16323,W
2298477,11004,W
2299458,10597,W
2300479,1874,W
2301465,7183,W
2302468,34872,W
2303476,4952,W
2304470,8184,W
2305454,1115,W
2306458,5629,W
2307463,18642,W
2308457,2279,W
2309431,10261,W
2310432,34651,W
2311433,21383,W
2312417,5447,W
2313403,45054,W
2314435,3696,W
2315426,4856,W
2316409,19536,W
2317414,23678,W
2318397,1659,W
2319435,58489,W
2320386,2995,W
2321404,3567,W
2322370,8025,W
2323375,5615,W
2324373,29372,W
2325361,41179,W
2326370,8285,W
2327364,3104,W
2328350,21990,W
2329373,18029,W
2330354,1059,W
2331340,8372,W
2332342,9213,W
2333342,13124,W
2334345,3568,W
2335333,13905,W
2336332,6090,W
2337319,9673,W
2338342,3344,W
2339322,20694,W
2340304,20300,W
2341319,9212,W
2342309,5695,W
2343311,5617,W
2344295,11346,W
2345298,10245,W
2346301,13659,W
2347303,30703,W
2348286,14354,W
2349292,11946,W
2350257,8926,W
2351278,2225,W
2352265,3126,W
2353250,9667,W
2354265,7857,W
2355253,28159,W
2356236,27667,W
2357246,1914,W
2358255,6148,W
2359223,9115,W
2360227,4269,W
2361229,2254,W
2362214,29190,W
2363220,3815,W
2364223,8862,W
2365209,23269,W
2366235,7148,W
2367224,17837,W
2368210,16574,W
2369213,27256,W
2370194,18862,W
2371207,55087,W
2372199,74201,W
2373167,7142,W
2374181,176723,W
2375193,4657,W
2376157,28412,W
2377174,67799,W
2378162,9442,W
2379160,10651,W
2380168,11150,W
2381167,5881,W
2382142,252310,W
2383144,4312,W
2384154,2478,W
2385142,60073,W
2386143,11441,W
2387144,3108,W
2388124,4936,W
2389139,2420,W
2390115,9595,W
2391101,29678,W
2392119,19582,W
2393107,24659,W
2394108,2610,W
2395109,6514,W
2396094,11591,W
2397078,7653,W
2398088,16470,W
2399083,13146,W
2400069,10898,W
2401079,865,W
2402074,26166,W
2403068,2268,W
2404076,2089,W
2405046,15387,W
2406056,13684,W
2407052,38198,W
2408052,4711,W
2409057,1847,W
2410037,5581,W
2411032,51092,W
2412026,45353,W
2413045,6955,W
2414013,12674,W
2415015,18856,W
2416015,1137,W
2417017,17169,W
2418004,72093,W
2419005,7877,W
2419994,1229,W
2420998,17873,W
2421998,6227,W
2422998,24538,W
2423998,7954,W
2424980,3181,W
2425986,27095,W
2426990,3027,W
2427979,18373,W
2428957,14022,W
2429957,12776,W
2430946,12354,W
2431965,718,W
2432950,2223,W
2433938,38003,W
2434958,24727,W
2435927,842,W
2436928,14981,W
2437987,12092,W
2438909,3839,W
2439931,6367,W
2440914,40123,W
2441916,405,W
2442923,5544,W
2443903,7652,W
2444906,3930,W
2445906,25237,W
2446909,9328,W
2447894,41905,W
2448895,5015,W
2449887,29716,W
2450868,6698,W
2451886,5880,W
2452852,9306,W
2453875,16158,W
2454878,16257,W
2455842,8440,W
2456842,45500,W
2457844,5156,W
2458850,6384,W
2459851,19487,W
2460851,4114,W
2461834,7693,W
2462840,11089,W
2463826,14200,W
2464830,4114,W
2465828,5936,W
2466813,27089,W
2467814,102478,W
2468798,5870,W
2469806,6488,W
2470803,4573,W
2471804,1479,W
2472780,24678,W
2473791,3722,W
2474777,3333,W
2475781,7145,W
2476786,11708,W
2477784,11022,W
2478767,11146,W
2479772,52830,W
2480771,16893,W
2481757,2331,W
2482760,3950,W
2483746,8806,W
2484728,19916,W
2485730,1808,W
2486749,44514,W
2487737,21488,W
2488725,4186,W
2489725,2123,W
2490706,11592,W
2491725,12897,W
2492711,864,W
2493696,36028,W
2494697,5376,W
2495682,22795,W
2496690,17570,W
2497703,315815,W
2498690,3455,W
2499692,604,W
2500684,15201,W
2501695,4762,W
2502663,4493,W
2503682,6635,W
2504666,16500,W
2505652,7409,W
2506652,50581,W
2507640,1461,W
2508658,5117,W
2509643,12623,W
2510628,37133,W
2511632,3601,W
2512617,1860,W
2513616,3151,W
2514640,2447,W
2515620,49428,W
2516605,2263,W
2517623,2536,W
2518608,6976,W
2519617,7719,W
2520612,22455,W
2521598,2841,W
2522603,8169,W
2523604,6598,W
2524571,10000,W
2525589,11381,W
2526591,15728,W
2527558,12248,W
2528577,4881,W
2529546,5781,W
2530551,8506,W
2531602,4261,W
2532559,10800,W
2533556,2629,W
2534540,6146,W
2535530,10993,W
2536528,3695,W
2537589,7318,W
2538515,3099,W
2539532,12631,W
2540517,1675,W
2541520,8247,W
2542520,7165,W
2543522,9635,W
2544527,2608,W
2545511,4422,W
2546499,5074,W
2547496,3914,W
2548502,3964,W
2549489,3963,W
2550492,3807,W
2551474,7576,W
2552456,8738,W
2553477,11321,W
2554479,9345,W
2555457,3698,W
2556470,612,W
2557466,7243,W
2558433,2844,W
2559455,6194,W
2560454,1566,W
2561440,3346,W
2562432,1026,W
2563455,3559,W
2564417,5347,W
2565414,11484,W
2566431,20304,W
2567421,32278,W
2568407,10379,W
2569402,7915,W
2570405,4433,W
2571396,7564,W
2572392,6677,W
2573379,5635,W
2574387,5944,W
2575366,6715,W
2576385,8266,W
2577370,9419,W
2578403,5435,W
2579373,15356,W
2580376,10752,W
2581362,5456,W
2582350,11802,W
2583345,8016,W
2584353,6152,W
2585352,2507,W
2586358,4796,W
2587320,8005,W
2588342,3152,W
