timestamp,value,pid
2191889,10,W
2192990,0,W
2193882,79467,W
2194895,42,W
2195889,8168,W
2196880,9,W
2197892,150,W
2198868,4317,W
2199866,15940,W
2200870,18770,W
2201878,13213,W
2202863,48017,W
2203860,3048,W
2204865,9842,W
2205901,5081,W
2206852,40973,W
2207835,38403,W
2208817,5108,W
2209822,4381,W
2210826,22299,W
2211825,44772,W
2212817,11384,W
2213927,18533,W
2214815,8206,W
2215822,28269,W
2216805,43947,W
2217803,3750,W
2218827,13746,W
2219784,4769,W
2220797,5636,W
2221895,18414,W
2222774,42006,W
2223769,13668,W
2224792,12708,W
2225761,4912,W
2226765,4728,W
2227780,28280,W
2228747,1010,W
2229903,9525,W
2230763,16486,W
2231746,8232,W
2232731,5403,W
2233716,9399,W
2234721,4967,W
2235722,7345,W
2236737,5285,W
2237716,10618,W
2238727,7918,W
2239710,1633,W
2240714,2893,W
2241717,2885,W
2242684,2607,W
2243706,15783,W
2244711,4162,W
2245697,3151,W
2246675,1478,W
2247693,3648,W
2248671,4384,W
2249682,12349,W
2250651,15590,W
2251669,29778,W
2252666,30231,W
2253655,1672,W
2254659,2374,W
2255648,6601,W
2256628,10311,W
2257629,4434,W
2258644,11366,W
2259623,2159,W
2260622,4606,W
2261641,12223,W
2262607,13996,W
2263617,9393,W
2264611,2457,W
2265596,5732,W
2266614,5713,W
2267604,3614,W
2268600,1103,W
2269597,2125,W
2270588,2260,W
2271574,2103,W
2272640,1022,W
2273577,4301,W
2274580,469,W
2275583,2042,W
2276573,10935,W
2277571,5306,W
2278569,3690,W
2279554,2661,W
2280558,2254,W
2281542,1412,W
2282527,4545,W
2283547,1448,W
2284544,4834,W
2285519,1063,W
2286517,999,W
2287536,5422,W
2288529,2380,W
2289525,10267,W
2290548,4361,W
2291511,6813,W
2292498,1858,W
2293482,4984,W
2294496,866,W
2295493,1870,W
2296471,4482,W
2297473,17731,W
2298477,3490,W
2299458,12092,W
2300479,2527,W
2301465,10039,W
2302468,40527,W
2303476,5515,W
2304470,7288,W
2305454,5646,W
2306458,42613,W
2307463,9372,W
2308457,3485,W
2309431,6202,W
2310432,54582,W
2311433,78065,W
2312417,3117,W
2313403,16858,W
2314435,2331,W
2315426,7644,W
2316409,10131,W
2317414,46782,W
2318397,6505,W
2319435,51833,W
2320386,5610,W
2321404,3511,W
2322370,21089,W
2323375,2756,W
2324373,10798,W
2325361,56046,W
2326370,9528,W
2327364,11063,W
2328350,4238,W
2329373,15559,W
2330354,1129,W
2331340,28540,W
2332342,20999,W
2333342,11459,W
2334345,18893,W
2335333,56815,W
2336332,9340,W
2337319,8953,W
2338342,39647,W
2339322,20541,W
2340304,30932,W
2341319,3958,W
2342309,8761,W
2343311,20152,W
