timestamp,value,pid
2191889,1,W
2192990,0,W
2193882,5210,W
2194895,52,W
2195889,445,W
2196880,32,W
2197892,330,W
2198868,1752,W
2199866,2403,W
2200870,8780,W
2201878,7949,W
2202863,8145,W
2203860,162,W
2204865,23304,W
2205901,3187,W
2206852,24122,W
2207835,36258,W
2208817,16475,W
2209822,21029,W
2210826,21061,W
2211825,40786,W
2212817,9445,W
2213927,20085,W
2214815,8267,W
2215822,25290,W
2216805,20627,W
2217803,2343,W
2218827,2728,W
2219784,4684,W
2220797,8973,W
2221895,10385,W
2222774,13489,W
2223769,2985,W
2224792,4724,W
2225761,11634,W
2226765,10700,W
2227780,22037,W
2228747,10303,W
2229903,11958,W
2230763,18824,W
2231746,7648,W
2232731,16102,W
2233716,19381,W
2234721,6183,W
2235722,16574,W
2236737,10034,W
2237716,12194,W
2238727,6725,W
2239710,6006,W
2240714,6540,W
2241717,8307,W
2242684,13372,W
2243706,19214,W
2244711,1061,W
2245697,12740,W
2246675,1659,W
2247693,6945,W
2248671,11025,W
2249682,12189,W
2250651,17546,W
2251669,3705,W
2252666,5144,W
2253655,922,W
2254659,2398,W
2255648,5975,W
2256628,1884,W
2257629,3280,W
2258644,2238,W
2259623,2444,W
2260622,6814,W
2261641,4754,W
2262607,6361,W
2263617,8526,W
2264611,4321,W
2265596,2786,W
2266614,2478,W
2267604,9230,W
2268600,3823,W
2269597,6804,W
2270588,7357,W
2271574,5734,W
2272640,3674,W
2273577,2907,W
2274580,4184,W
2275583,2654,W
2276573,2331,W
2277571,2076,W
2278569,2467,W
2279554,2993,W
2280558,1800,W
2281542,1826,W
2282527,2719,W
2283547,2376,W
2284544,912,W
2285519,3452,W
2286517,4692,W
2287536,1890,W
2288529,2308,W
2289525,2013,W
2290548,3685,W
2291511,1764,W
2292498,2497,W
2293482,3660,W
2294496,1632,W
2295493,1086,W
2296471,2148,W
2297473,5679,W
2298477,2125,W
2299458,4232,W
2300479,203,W
2301465,2020,W
2302468,4720,W
2303476,1212,W
2304470,5625,W
2305454,3277,W
2306458,8679,W
2307463,5102,W
2308457,1445,W
2309431,5391,W
2310432,18788,W
2311433,28950,W
2312417,3245,W
2313403,7413,W
2314435,7649,W
2315426,2760,W
2316409,25362,W
2317414,46835,W
2318397,2899,W
2319435,39944,W
2320386,7933,W
2321404,10530,W
2322370,5612,W
2323375,6182,W
2324373,17383,W
2325361,92730,W
2326370,9404,W
2327364,1226,W
2328350,10722,W
2329373,6626,W
2330354,2959,W
2331340,9922,W
2332342,7924,W
2333342,52036,W
2334345,5147,W
2335333,17794,W
2336332,3836,W
2337319,37848,W
2338342,30526,W
2339322,12570,W
2340304,19087,W
2341319,46742,W
2342309,4816,W
2343311,4463,W
2344295,4086,W
2345298,33004,W
2346301,10509,W
2347303,36022,W
2348286,20373,W
2349292,11957,W
2350257,4820,W
2351278,2006,W
2352265,12086,W
2353250,43448,W
2354265,32083,W
2355253,7422,W
2356236,15429,W
2357246,2435,W
2358255,18966,W
2359223,13575,W
2360227,13827,W
2361229,1156,W
2362214,30508,W
2363220,7391,W
2364223,7157,W
2365209,12395,W
2366235,1335,W
2367224,5175,W
2368210,4149,W
2369213,46133,W
2370194,35607,W
2371207,15857,W
2372199,92677,W
2373167,19408,W
2374181,185601,W
2375193,2024,W
2376157,4639,W
2377174,26542,W
2378162,10660,W
2379160,25440,W
2380168,12384,W
2381167,4762,W
2382142,106987,W
2383144,2050,W
2384154,19531,W
2385142,24019,W
2386143,8380,W
2387144,14520,W
2388124,10224,W
2389139,8485,W
2390115,14282,W
2391101,10543,W
2392119,10493,W
2393107,11227,W
2394108,2465,W
2395109,7053,W
2396094,1593,W
2397078,18927,W
2398088,17425,W
2399083,30000,W
2400069,1268,W
2401079,6320,W
2402074,23227,W
2403068,1850,W
2404076,28358,W
2405046,12149,W
2406056,3169,W
2407052,18933,W
2408052,25290,W
2409057,11329,W
2410037,7506,W
2411032,5919,W
2412026,9966,W
2413045,5119,W
2414013,6015,W
2415015,14763,W
2416015,870,W
2417017,20195,W
2418004,4604,W
2419005,972,W
2419994,775,W
2420998,8156,W
2421998,4898,W
2422998,29821,W
2423998,6101,W
2424980,1485,W
2425986,13272,W
2426990,4696,W
2427979,10093,W
2428957,12575,W
2429957,5323,W
2430946,8669,W
2431965,656,W
2432950,3714,W
2433938,10229,W
2434958,3418,W
2435927,1926,W
2436928,12202,W
2437987,13005,W
2438909,2331,W
2439931,1958,W
2440914,7918,W
2441916,550,W
2442923,5015,W
2443903,9673,W
2444906,1895,W
2445906,16307,W
2446909,6762,W
2447894,11577,W
2448895,4953,W
2449887,5750,W
2450868,1451,W
2451886,2639,W
2452852,9864,W
2453875,3017,W
2454878,9691,W
2455842,3420,W
2456842,18464,W
2457844,5898,W
2458850,1872,W
2459851,9734,W
2460851,2154,W
2461834,6262,W
2462840,9185,W
2463826,17693,W
2464830,7629,W
2465828,12506,W
2466813,10531,W
2467814,12235,W
2468798,1032,W
2469806,2836,W
2470803,6465,W
2471804,1343,W
2472780,26084,W
2473791,5153,W
2474777,2711,W
2475781,3911,W
2476786,6378,W
2477784,5695,W
2478767,13943,W
2479772,21366,W
2480771,11398,W
2481757,5147,W
2482760,5145,W
2483746,4185,W
2484728,26927,W
2485730,633,W
2486749,20960,W
2487737,3346,W
2488725,7716,W
2489725,5248,W
2490706,3350,W
2491725,4423,W
2492711,196,W
2493696,18490,W
2494697,1048,W
2495682,12283,W
2496690,6173,W
2497703,72373,W
2498690,4098,W
2499692,2832,W
2500684,24304,W
2501695,5384,W
2502663,18476,W
2503682,4609,W
2504666,32754,W
2505652,9205,W
2506652,13920,W
2507640,759,W
2508658,4760,W
2509643,5369,W
2510628,19526,W
2511632,1155,W
2512617,3643,W
2513616,4009,W
2514640,1727,W
2515620,26864,W
2516605,3000,W
2517623,15570,W
2518608,2997,W
2519617,15576,W
2520612,7854,W
2521598,6887,W
2522603,6226,W
2523604,11025,W
2524571,4855,W
2525589,6443,W
2526591,8165,W
2527558,2313,W
2528577,15628,W
2529546,7794,W
2530551,7807,W
2531602,14564,W
2532559,7055,W
2533556,8815,W
2534540,5024,W
2535530,13656,W
2536528,1271,W
2537589,11876,W
2538515,8431,W
2539532,6082,W
2540517,5281,W
2541520,3542,W
2542520,9215,W
2543522,11054,W
2544527,3606,W
2545511,9456,W
2546499,4914,W
2547496,5745,W
2548502,2931,W
2549489,14129,W
2550492,5064,W
2551474,7237,W
2552456,5377,W
2553477,3241,W
2554479,4658,W
2555457,5351,W
2556470,742,W
2557466,2398,W
2558433,12969,W
2559455,14498,W
2560454,8361,W
2561440,5556,W
2562432,7349,W
2563455,7445,W
2564417,8101,W
2565414,15389,W
2566431,14313,W
2567421,9745,W
2568407,6512,W
2569402,9927,W
2570405,8347,W
2571396,5504,W
2572392,1464,W
2573379,8245,W
2574387,3838,W
2575366,4759,W
2576385,2894,W
2577370,4283,W
2578403,4333,W
2579373,30472,W
2580376,7267,W
2581362,9565,W
2582350,10555,W
2583345,4535,W
2584353,6894,W
2585352,7919,W
2586358,3976,W
2587320,7381,W
2588342,7589,W
2589324,3148,W
2590327,9247,W
2591331,7341,W
2592297,7154,W
2593317,8449,W
2594302,3623,W
2595286,7559,W
2596306,5886,W
2597307,7035,W
2598292,3712,W
2599278,9084,W
2600304,6237,W
2601264,4199,W
2602269,2505,W
2603285,5211,W
