timestamp,value,pid
2191889,116,W
2192990,0,W
2193882,614527,W
2194895,841,W
2195889,89011,W
2196880,256,W
2197892,4536,W
2198868,635835,W
2199866,1206425,W
2200870,114838,W
2201878,903050,W
2202863,404777,W
2203860,108418,W
2204865,525195,W
2205901,1429481,W
2206852,303030,W
2207835,1086976,W
2208817,39985,W
2209822,214440,W
2210826,230998,W
2211825,1168354,W
2212817,365869,W
2213927,1116615,W
2214815,652373,W
2215822,507298,W
2216805,225413,W
2217803,226962,W
2218827,1560919,W
2219784,139661,W
2220797,546696,W
2221895,142219,W
2222774,997034,W
2223769,39489,W
2224792,1288095,W
2225761,43911,W
2226765,6898,W
2227780,16395,W
2228747,7759,W
2229903,8308,W
2230763,241118,W
2231746,10572,W
2232731,26762,W
2233716,30451,W
2234721,84193,W
2235722,16982,W
2236737,20470,W
2237716,76875,W
2238727,18762,W
2239710,8882,W
2240714,12245,W
2241717,5397,W
2242684,14165,W
2243706,9095,W
2244711,70666,W
2245697,260485,W
2246675,113403,W
2247693,91238,W
2248671,40523,W
2249682,77224,W
2250651,151737,W
2251669,1069921,W
2252666,2662657,W
2253655,342612,W
2254659,36521,W
2255648,19509,W
2256628,98861,W
2257629,78804,W
2258644,58473,W
2259623,18260,W
2260622,46774,W
2261641,45019,W
2262607,11804,W
2263617,4121,W
2264611,10194,W
2265596,3395,W
2266614,223539,W
2267604,41514,W
2268600,19540,W
2269597,11273,W
2270588,4806,W
2271574,2599,W
2272640,7692,W
2273577,9217,W
2274580,6783,W
2275583,21979,W
2276573,5568,W
2277571,7819,W
2278569,6195,W
2279554,7989,W
2280558,1392,W
2281542,6670,W
2282527,5378,W
2283547,3419,W
2284544,6352,W
2285519,1617,W
2286517,11141,W
2287536,8451,W
2288529,3576,W
2289525,4394,W
2290548,8285,W
2291511,18751,W
2292498,7168,W
2293482,12586,W
2294496,3400,W
2295493,7968,W
2296471,9827,W
2297473,62986,W
2298477,43302,W
2299458,1146624,W
2300479,120846,W
2301465,532115,W
2302468,808865,W
2303476,366930,W
2304470,84755,W
2305454,2254,W
2306458,94713,W
2307463,1136742,W
2308457,290759,W
2309431,252497,W
2310432,1100487,W
2311433,1158151,W
2312417,165676,W
2313403,174089,W
2314435,295649,W
2315426,50981,W
2316409,82977,W
2317414,972397,W
2318397,148515,W
2319435,1730716,W
2320386,657895,W
2321404,382578,W
2322370,35700,W
2323375,292193,W
