timestamp,value,pid
2191889,44,W
2192990,1,W
2193882,114488,W
2194895,1617,W
2195889,67630,W
2196880,261,W
2197892,1534,W
2198868,21898,W
2199866,58547,W
2200870,300022,W
2201878,106715,W
2202863,438424,W
2203860,6744,W
2204865,184196,W
2205901,8996,W
2206852,358638,W
2207835,221842,W
2208817,53324,W
2209822,7587,W
2210826,102032,W
2211825,55298,W
2212817,135988,W
2213927,93947,W
2214815,169748,W
2215822,241655,W
2216805,246205,W
2217803,39972,W
2218827,92826,W
2219784,15289,W
2220797,17392,W
2221895,48967,W
2222774,272658,W
2223769,98392,W
2224792,42320,W
2225761,11733,W
2226765,3947,W
2227780,15175,W
2228747,9547,W
2229903,5555,W
2230763,165197,W
2231746,9996,W
2232731,17652,W
2233716,35968,W
2234721,26573,W
2235722,32329,W
2236737,27851,W
2237716,35207,W
2238727,9427,W
2239710,11345,W
2240714,6571,W
2241717,11164,W
2242684,8566,W
2243706,11035,W
2244711,68228,W
2245697,40317,W
2246675,3886,W
2247693,24343,W
2248671,55332,W
2249682,32635,W
2250651,107661,W
2251669,127000,W
2252666,590174,W
2253655,17270,W
2254659,17811,W
2255648,9601,W
2256628,28648,W
2257629,9144,W
2258644,90109,W
2259623,10969,W
2260622,8676,W
2261641,26735,W
2262607,10149,W
2263617,6721,W
2264611,6804,W
2265596,5658,W
2266614,54555,W
2267604,15306,W
2268600,34703,W
2269597,9559,W
2270588,12644,W
2271574,3048,W
2272640,5500,W
2273577,3198,W
2274580,5539,W
2275583,13622,W
2276573,14084,W
2277571,3754,W
2278569,2979,W
2279554,15661,W
2280558,6875,W
2281542,10449,W
2282527,5130,W
2283547,6885,W
2284544,4294,W
2285519,2394,W
2286517,4673,W
2287536,3087,W
2288529,3204,W
2289525,5217,W
2290548,3702,W
2291511,7246,W
2292498,14289,W
2293482,3197,W
2294496,1850,W
2295493,6621,W
2296471,4937,W
2297473,16598,W
2298477,36080,W
2299458,16938,W
2300479,25389,W
2301465,66783,W
2302468,90415,W
2303476,7094,W
2304470,146668,W
2305454,7271,W
2306458,49811,W
2307463,363326,W
2308457,87269,W
2309431,96649,W
2310432,246149,W
2311433,223385,W
2312417,30400,W
2313403,425232,W
2314435,17939,W
2315426,18826,W
2316409,110569,W
2317414,216568,W
2318397,22766,W
2319435,382070,W
2320386,18587,W
2321404,93807,W
2322370,70208,W
2323375,68523,W
2324373,162378,W
2325361,339122,W
2326370,155325,W
2327364,85022,W
2328350,42123,W
2329373,196008,W
2330354,27976,W
2331340,65007,W
2332342,93809,W
2333342,403880,W
2334345,89896,W
2335333,247820,W
2336332,80322,W
2337319,25132,W
2338342,45877,W
2339322,64231,W
2340304,182717,W
2341319,34237,W
2342309,33754,W
2343311,46321,W
2344295,191941,W
2345298,32937,W
2346301,34988,W
2347303,61210,W
2348286,156613,W
2349292,111709,W
2350257,13846,W
2351278,11578,W
2352265,208972,W
2353250,141336,W
2354265,41485,W
2355253,200860,W
2356236,211044,W
2357246,13051,W
2358255,7564,W
2359223,11148,W
2360227,1672,W
2361229,5788,W
2362214,163326,W
2363220,66085,W
2364223,131010,W
2365209,94619,W
2366235,24355,W
2367224,106708,W
2368210,65472,W
2369213,382404,W
2370194,271624,W
2371207,602001,W
2372199,407070,W
2373167,55135,W
2374181,1705884,W
2375193,26420,W
2376157,61170,W
2377174,314548,W
2378162,110145,W
2379160,205238,W
2380168,65965,W
2381167,46727,W
2382142,2227597,W
2383144,161929,W
2384154,23380,W
2385142,481074,W
2386143,33696,W
2387144,6757,W
2388124,11936,W
2389139,6864,W
2390115,84235,W
2391101,188638,W
2392119,13699,W
2393107,676488,W
2394108,9159,W
2395109,14466,W
2396094,59435,W
2397078,22856,W
2398088,29705,W
2399083,23073,W
2400069,20239,W
2401079,11112,W
2402074,44100,W
2403068,16796,W
2404076,35574,W
2405046,19642,W
2406056,57401,W
2407052,77633,W
2408052,21792,W
2409057,29419,W
2410037,16220,W
2411032,180016,W
2412026,301437,W
2413045,54910,W
2414013,55510,W
2415015,88445,W
2416015,34612,W
2417017,44601,W
2418004,408540,W
2419005,37920,W
2419994,22184,W
2420998,86578,W
2421998,33792,W
2422998,74919,W
2423998,22550,W
2424980,20200,W
2425986,356761,W
2426990,13001,W
2427979,94100,W
2428957,76091,W
2429957,119674,W
2430946,394698,W
2431965,14278,W
2432950,38527,W
2433938,412039,W
2434958,113526,W
2435927,36905,W
2436928,417652,W
2437987,94941,W
2438909,97778,W
2439931,100440,W
2440914,277510,W
2441916,29357,W
2442923,51868,W
2443903,4738,W
2444906,7458,W
2445906,2352,W
2446909,6692,W
2447894,107248,W
2448895,42162,W
2449887,52366,W
2450868,24341,W
2451886,302144,W
2452852,316720,W
2453875,98241,W
2454878,574835,W
2455842,18830,W
2456842,157707,W
2457844,53413,W
2458850,11018,W
2459851,112666,W
2460851,85962,W
2461834,290124,W
2462840,631512,W
2463826,345905,W
2464830,198342,W
2465828,468868,W
2466813,73399,W
2467814,141972,W
2468798,35827,W
2469806,168767,W
2470803,41595,W
2471804,3100,W
2472780,338074,W
2473791,55961,W
2474777,45665,W
2475781,54846,W
2476786,81286,W
2477784,56393,W
2478767,71951,W
2479772,626560,W
2480771,444118,W
2481757,33815,W
2482760,30308,W
2483746,25449,W
2484728,104648,W
2485730,16632,W
2486749,197927,W
2487737,167945,W
2488725,23636,W
2489725,38077,W
2490706,205247,W
2491725,8701,W
2492711,13378,W
2493696,352301,W
2494697,5296,W
2495682,134164,W
2496690,103020,W
2497703,1568253,W
2498690,30549,W
2499692,8708,W
2500684,15959,W
2501695,3343,W
2502663,17947,W
2503682,37205,W
2504666,29776,W
2505652,78621,W
2506652,136514,W
2507640,7447,W
2508658,37905,W
2509643,77178,W
2510628,92099,W
2511632,108605,W
2512617,26051,W
2513616,40442,W
2514640,65170,W
2515620,118187,W
2516605,10147,W
2517623,1093699,W
2518608,94876,W
2519617,10624,W
2520612,7173,W
2521598,4539,W
2522603,14432,W
2523604,5130,W
2524571,5274,W
2525589,5104,W
2526591,19760,W
2527558,1958,W
2528577,28752,W
2529546,6929,W
2530551,6660,W
2531602,2387,W
2532559,11694,W
2533556,6767,W
2534540,10397,W
2535530,14250,W
2536528,73860,W
2537589,4953,W
2538515,4080,W
2539532,8074,W
2540517,7789,W
2541520,4801,W
2542520,18801,W
2543522,8208,W
2544527,14137,W
2545511,18738,W
2546499,7105,W
2547496,1948,W
2548502,13394,W
2549489,16981,W
2550492,6636,W
2551474,16005,W
2552456,12437,W
2553477,10648,W
2554479,6328,W
2555457,9095,W
2556470,16507,W
2557466,22501,W
2558433,6118,W
2559455,21697,W
2560454,31449,W
2561440,39388,W
2562432,7296,W
2563455,54474,W
2564417,6752,W
2565414,5987,W
2566431,9379,W
2567421,261228,W
2568407,5868,W
2569402,32044,W
2570405,11623,W
2571396,4261,W
2572392,5934,W
2573379,11245,W
2574387,7598,W
2575366,17070,W
2576385,19695,W
2577370,12546,W
2578403,3674,W
2579373,438471,W
2580376,26695,W
2581362,13330,W
2582350,8570,W
2583345,16930,W
2584353,18842,W
2585352,11195,W
2586358,21793,W
2587320,17628,W
2588342,2266,W
2589324,39367,W
2590327,28249,W
2591331,13444,W
2592297,14249,W
2593317,27170,W
2594302,10243,W
2595286,28182,W
2596306,3436,W
2597307,21964,W
2598292,3728,W
2599278,16388,W
2600304,13744,W
2601264,22378,W
2602269,77038,W
2603285,19685,W
2604277,40970,W
2605275,8589,W
2606273,9784,W
2607258,5003,W
2608245,11123,W
2609252,31002,W
2610231,31195,W
2611234,44001,W
2612218,24047,W
2613265,28212,W
2614228,21648,W
2615224,10562,W
2616209,2800,W
2617228,1949,W
2618212,4908,W
2619201,3370,W
2620220,19152,W
2621201,38697,W
2622205,10993,W
2623206,27097,W
2624190,102926,W
2625203,54266,W
2626194,10334,W
2627175,53785,W
2628180,4840,W
2629149,32416,W
2630171,5133,W
2631172,7578,W
2632139,11796,W
2633143,7893,W
2634145,38784,W
2635144,35816,W
2636138,3464,W
2637133,3374,W
2638134,5337,W
2639120,12630,W
2640122,23544,W
2641112,24669,W
2642125,5021,W
2643127,381821,W
2644094,8273,W
2645104,14425,W
2646117,16753,W
2647084,9675,W
2648103,4123,W
2649077,11411,W
2650091,11165,W
2651090,49099,W
2652085,30535,W
2653080,18005,W
2654087,12720,W
2655067,3948,W
2656055,13174,W
2657070,11240,W
2658037,3890,W
2659057,24842,W
2660060,3113,W
2661028,7258,W
2662039,9682,W
2663052,8029,W
2664035,10001,W
2665033,11168,W
2666021,8006,W
2667006,20464,W
2668008,11237,W
2669007,2771,W
2669997,79343,W
2671004,91543,W
2672013,12814,W
2672999,102061,W
2674002,70478,W
2674969,1964,W
2675992,84141,W
2676975,11452,W
2677967,13800,W
2678961,14940,W
2679966,6708,W
2680971,13225,W
2681966,6146,W
2682967,6423,W
2683953,5809,W
2684955,13732,W
2685957,9312,W
2686924,4444,W
2687946,5441,W
2688912,606106,W
2689927,26972,W
2690921,14460,W
2691917,9002,W
2692910,6384,W
2693927,10548,W
2694906,47345,W
2695909,10834,W
2696951,15761,W
2697878,8860,W
2698890,7203,W
2699884,61969,W
2700870,190044,W
2701870,7351,W
2702889,18109,W
